date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:57:19	33562/33562	---MCZ	200	added ('OK')	application/javascript	etag:W/%2254ba5f2317a3c71a0da3b77f58183a6f%22	https://arbitrum.foundation/_next/static/chunks/pages/tos-219b6cde5d63326a.js	/home/mohammadrezam/websites/arbitrum.foundation/arbitrum.foundation/_next/static/chunks/pages/tos-219b6cde5d63326a.js	(from https://arbitrum.foundation/tos)
08:57:20	36826/36826	---MCZ	200	added ('OK')	application/javascript	etag:W/%22c4a8ac750b6d783f77563f37e9dffa7d%22	https://arbitrum.foundation/_next/static/chunks/pages/privacy-3ffc58885245fc39.js	/home/mohammadrezam/websites/arbitrum.foundation/arbitrum.foundation/_next/static/chunks/pages/privacy-3ffc58885245fc39.js	(from https://arbitrum.foundation/privacy)
08:57:23	47596/47596	---MCZ	200	added ('OK')	application/javascript	etag:W/%2272765ab317b812eed92629f8c940b407%22	https://arbitrum.foundation/_next/static/chunks/25-d64ba38f77535d8d.js	/home/mohammadrezam/websites/arbitrum.foundation/arbitrum.foundation/_next/static/chunks/25-d64ba38f77535d8d.js	(from https://arbitrum.foundation/embed/newsletter)
08:57:24	844326/844326	---M--	200	added ('OK')	image/png	date:Thu,%2016%20Mar%202023%2013:13:30%20GMT	https://arbitrum.foundation/_next/image?url=%2Fillustration_10.webp&w=3840&q=75	/home/mohammadrezam/websites/arbitrum.foundation/arbitrum.foundation/_next/illustration_108636.png	(from https://arbitrum.foundation/orbit)
08:57:24	1230/1230	---MCZ	200	added ('OK')	application/javascript	etag:W/%22460e165af18bac410dbd96b92a51a7d2%22	https://arbitrum.foundation/_next/static/chunks/pages/embed/newsletter-052395a838147061.js	/home/mohammadrezam/websites/arbitrum.foundation/arbitrum.foundation/_next/static/chunks/pages/embed/newsletter-052395a838147061.js	(from https://arbitrum.foundation/embed/newsletter)
08:57:47	1608708/1608708	---M--	200	added ('OK')	image/png	date:Thu,%2016%20Mar%202023%2013:14:38%20GMT	https://arbitrum.foundation/_next/image?url=%2Fstory_1.webp&w=3840&q=75	/home/mohammadrezam/websites/arbitrum.foundation/arbitrum.foundation/_next/story_17514.png	(from https://arbitrum.foundation/orbit)
08:58:25	3085499/3085499	---M--	200	added ('OK')	image/png	date:Thu,%2016%20Mar%202023%2013:35:49%20GMT	https://arbitrum.foundation/_next/image?url=%2Fstory_2.webp&w=3840&q=75	/home/mohammadrezam/websites/arbitrum.foundation/arbitrum.foundation/_next/story_28e9c.png	(from https://arbitrum.foundation/orbit)
08:58:27	91460/91460	URF---	200	added ('OK%20(cached)')	application/x-javascript		https://arbitrum.foundation/_next/static/chunks/polyfills-c67a75d1b6f99dc8.js	/home/mohammadrezam/websites/arbitrum.foundation/arbitrum.foundation/_next/static/chunks/polyfills-c67a75d1b6f99dc8.js	(from https://arbitrum.foundation/)
08:58:27	3555/3555	UR-M--	412	error ('Precondition%20Failed')	text/html	date:Sun,%2019%20Mar%202023%2005:28:26%20GMT	https://arbitrum.foundation/_next/static/chunks/main-7355810899d3759d.js	/home/mohammadrezam/websites/arbitrum.foundation/arbitrum.foundation/_next/static/chunks/main-7355810899d3759d.js	(from https://arbitrum.foundation/)
08:58:27	3555/3555	UR-M--	412	error ('Precondition%20Failed')	text/html	date:Sun,%2019%20Mar%202023%2005:28:27%20GMT	https://arbitrum.foundation/_next/static/chunks/webpack-5bc360a70983d29f.js	/home/mohammadrezam/websites/arbitrum.foundation/arbitrum.foundation/_next/static/chunks/webpack-5bc360a70983d29f.js	(from https://arbitrum.foundation/)
08:58:29	3555/3555	UR-M--	412	error ('Precondition%20Failed')	text/html	date:Sun,%2019%20Mar%202023%2005:28:29%20GMT	https://arbitrum.foundation/_next/static/chunks/framework-4bae2c966b0001c5.js	/home/mohammadrezam/websites/arbitrum.foundation/arbitrum.foundation/_next/static/chunks/framework-4bae2c966b0001c5.js	(from https://arbitrum.foundation/)
08:58:29	3555/3555	UR-M--	412	error ('Precondition%20Failed')	text/html	date:Sun,%2019%20Mar%202023%2005:28:29%20GMT	https://arbitrum.foundation/_next/static/chunks/pages/_app-b075d15d1c2323e3.js	/home/mohammadrezam/websites/arbitrum.foundation/arbitrum.foundation/_next/static/chunks/pages/_app-b075d15d1c2323e3.js	(from https://arbitrum.foundation/)
08:58:30	23656/23656	---M--	200	added ('OK')	font/woff2	etag:%2264a41545e9337afeeced346ccb53a377%22	https://arbitrum.foundation/_next/static/media/UniversalSansDisplay-200.c9fa68e3.woff2	/home/mohammadrezam/websites/arbitrum.foundation/arbitrum.foundation/_next/static/media/UniversalSansDisplay-200.c9fa68e3.woff2	(from https://arbitrum.foundation/_next/static/css/ff9ce77ff8557320.css)
08:58:31	31384/31384	---M--	200	added ('OK')	font/woff	etag:%2293115d021a336e8f655f63839560d22e%22	https://arbitrum.foundation/_next/static/media/UniversalSansDisplay-200.bb9fba1b.woff	/home/mohammadrezam/websites/arbitrum.foundation/arbitrum.foundation/_next/static/media/UniversalSansDisplay-200.bb9fba1b.woff	(from https://arbitrum.foundation/_next/static/css/ff9ce77ff8557320.css)
08:58:31	3555/3555	UR-M--	412	error ('Precondition%20Failed')	text/html	date:Sun,%2019%20Mar%202023%2005:28:29%20GMT	https://arbitrum.foundation/_next/static/chunks/24-e5d84ade9be8b0a0.js	/home/mohammadrezam/websites/arbitrum.foundation/arbitrum.foundation/_next/static/chunks/24-e5d84ade9be8b0a0.js	(from https://arbitrum.foundation/)
